id;identificacion;fecha;monto;fecha_vencimiento;facturad_realizada;factura_enviada;factura_cobrada
1;CFA Franc BEAC;2020-02-16T22:25:26;25896;2020-02-17T10:31:22;true;false;false
2;Administrator compressing;2020-02-17T06:08:29;38346;2020-02-16T21:20:23;false;false;false
3;yellow Oklahoma Uganda Shilling;2020-02-17T13:43:59;99908;2020-02-16T18:32:47;false;false;false
4;interface;2020-02-17T11:08:38;9552;2020-02-17T06:36:11;false;false;true
5;synthesize;2020-02-17T15:47:22;57112;2020-02-16T23:00:38;true;true;true
6;transmit Steel users;2020-02-17T03:22:18;23223;2020-02-17T03:42:33;true;true;true
7;Maine;2020-02-16T18:54:53;92271;2020-02-17T02:05:25;false;false;false
8;USB;2020-02-16T21:34:10;68188;2020-02-17T02:29:16;false;false;false
9;Executive Fully-configurable channels;2020-02-17T16:21:59;11771;2020-02-17T05:24:21;false;true;true
10;Costa Rican Colon;2020-02-17T04:15:56;14090;2020-02-17T07:47:16;true;false;false
